objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language
uiblackhistory080,h8.jpg,Budget Request for Necessary Staff for Fiscal Year 1972-1973,,,1972-01-01,yes,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory081,h9.jpg,Budget Request for Travel Fiscal Year 1972-1973,,,1972-01-01,yes,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory082,h47.jpg,correspondence regarding the Educational Specialist position,Thomas E. Richardson,,1977-06-01,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory083,h48.pdf,list of students recommended for tuition waivers (continued),,,1977-05-11,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory084,h49.pdf,correspondence regarding an appeal procedure,,,1977-07-08,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory085,h50.pdf,UI General News: Revamped Minority Program Gets Three Full-Time Advisors,General News (New Bureau),,1977-06-29,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory086,h52.pdf,memorandum: Summary of Selection Procedures for Educational Development Specialists Positions,,,1977-07-01,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory087,h54.pdf,memorandum: Report on Minority Student Programs,Wayne R. Hager,,1977-04-20,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory088,h61.pdf,correspondence: Proposed plan for filling Director of Minority Student Programs position,,,1977-03-22,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory089,h63.jpg,"memorandum: ""Minority Scholarships""",,,1977-03-07,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory090,h64.pdf,"memorandum: ""Minority Student Programs Proposal for 1977-78""",Jean Hill,,1977-03-01,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory091,h67.pdf,job description: Chicano Education Development Specialist,Office of Student Advisory Services,,1977-03-01,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory092,h74.jpg,"memorandum: ""Minority Scholarships""",Charles A. Ramsey,,1977-03-08,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory093,h75.jpg,"memorandum: ""Native American Recruitment Program Proposal""",Charles A. Ramsey,,1977-01-28,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory094,h76.pdf,Preliminary Statement of Purpose,,,undated,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory095,h78.jpg,memorandum: Capsule Report on the Minority Student Program,Charles A. Ramsey,,1976-12-13,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory096,h79.pdf,Capsule Report on Minority Student Programs to the Juntura Committee,,,1976-12-03,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory097,h84.jpg,"memorandum: ""Advisory Board for Minority Student Programs""",Charles A. Ramsey,,1976-11-15,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory098,h85.pdf,"memorandum: ""Advisory Board for Minority Student Programs""",Wayne Hager,,1976-11-16,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 25, Folder 602",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory099,h86.pdf,"Office of the President ""Received"" stamp",,,1976-11-23,no,,,,,,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory100,h87.jpg,University of Idaho Campus map,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory101,ha1.jpg,"memorandum: ""Affirmative Action Officer's Salary""",Sherm Carter,,1975-05-21,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory102,ha10.jpg,"memorandum: ""Affirmative Action Budget'",Sandi Gallagher,,1975-04-28,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory103,ha11.jpg,correspondence regarding Affirmative Action,Jack Magee,,1975-05-01,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory104,ha12.jpg,"memorandum: ""Sign off on Visiting Asisstant Professor vacancies""",Sandi Gallagher,,1975-05-05,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory105,ha13.jpg,"English Executive Committee document, page 2",,,1975-05-05,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory106,ha14.jpg,"English Executive Committee document, page 3",,,1975-05-05,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory107,ha15.jpg,"English Executive Committee document, page 4",,,1975-05-05,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory108,ha16.jpg,"English Executive Committee document, page 5",,,1975-05-05,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory109,ha17.jpg,program description: Affirmative Action Office,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory110,ha18.jpg,program description: Affirmative Action Office,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory111,ha19.jpg,1976-77 Budget Request: Support Funds and New Positions Request Form,,,1976-01-01,yes,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory112,ha20.jpg,financial document,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory113,ha2.jpg,"correspondence: ""Application of Ms. Carol Hipple for position of Assistant to the Affirmative Action Officer""",Thomas E. Richardson,,1975-05-02,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory114,ha21.jpg,"memorandum: ""Office Space and Equipment for Affirmative Action""",Sandi Gallagher,,1975-02-19,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory115,ha22.jpg,"memorandum: ""Progress Report of the Affirmative Action Officer""",Sandi Gallagher,,1975-02-19,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory116,ha23.jpg,"memorandum from President Hartung, page 2",,,1975-02-19,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory117,ha24.jpg,"memorandum from President Hartung, page 3",,,1975-02-19,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory118,ha25.jpg,"memorandum from President Hartung, page 4",,,1975-02-19,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory119,ha26.jpg,"memorandum from President Hartung, page 5",,,1975-02-19,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory120,ha27.jpg,Affirmative Action Progress Report,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory121,ha28.jpg,"University of Idaho Affirmative Action Hiring Procedures, page 1",,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory122,ha29.jpg,"University of Idaho Affirmative Action Hiring Procedures, page 2",,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory123,ha3.jpg,correspondence regarding the position of Assistant to the Affirmative Action Officer,Sandi Gallagher,,1975-04-24,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory124,ha30.jpg,Clarification of Recruitment Procedures for Faculty/Exempt Vacancies,Sandi Gallagher,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory125,ha31.jpg,motion regarding women's salaries,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory126,ha32.jpg,correspondence regarding Black Studies Program,Ed Reed,,1974-08-28,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 4, Folder 89",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory127,ha33.pdf,correspondence regarding Black Studies Program,Thomas E. Richardson,,1974-09-11,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 4, Folder 89",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory128,ha4.jpg,job posting: Assistant to the Affirmative Action Officer,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory129,ha5.jpg,"memorandum: ""Attached Budget Work Sheet""",Sherman Carter,,1975-04-15,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory130,ha54.pdf,handwritten notes,,,undated,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory131,ha6.jpg,Budget Workup 1975-1976,,,1975-04-01,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory132,ha7.jpg,Revised Back Pay Adjustments for Faculty Women,,,1975-03-01,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory133,ha8.jpg,"memorandum: ""Back Pay, Staff Salary, etc.""",Sandi Gallagher,,1975-01-27,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory134,ha9.jpg,"memorandum: ""Classification of Position in Your Office""",Sherman Carter,,1974-10-22,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory135,ha39.jpg,correspondence regarding questions raised by Black students,Thomas E. Richardson,,1974-10-24,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 5, Folder 124",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory136,ha40.jpg,correspondence regarding Black Student Union concerns,Thomas E. Richardson,,1974-10-24,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 5, Folder 124",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory137,ha41.pdf,correspondence regarding issues raised by the Black Student Union,David C. Blackwell,,1974-10-16,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 5, Folder 124",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory138,ha70.jpg,correspondence regarding the Black Student Union,Thomas E. Richardson,,1975-03-03,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 5, Folder 124",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory139,ha81.jpg,correspondence regarding Black Student Union concerns,Thomas E. Richardson,,1974-10-24,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 5, Folder 124",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory140,ha82.pdf,correspondence regarding issues raised by the Black Student Union,David C. Blackwell,,1974-10-16,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 5, Folder 124",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory141,ha88.jpg,handwritten note,,,1974-09-25,no,,,,,,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory142,ha89.pdf,handwritten notes,,,undated,no,,,,"President's Office (Hartung) Records, 1972-1977","UG 37, Box 5, Folder 124",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
